Point,X,Y,D,R,V,A,AV,AA,T,T2
0,-1.0,0.1,0,9999,0,0,0,0,0,0
1,-1.39823243931,0.0430384292696,22.1407362468,20.230084643,2.5,25.0,0.123578326246,1.23578326246,0.1,0.1
2,-1.42820577724,0.0384234742684,22.1721033155,9.88378048657,0.833936639113,-16.6606336089,0.0843742574257,-0.392040688206,0.1,0.2
3,-1.65124373526,0.00111415133639,0.266867528748,1.61765738219,0.713192153583,-0.35,0.440879608647,1.03339603775,0.344984244373,0.544984244373
4,-1.84239806819,-0.0580682429623,0.251003516471,0.332940586402,0.577010040122,-0.35,1.73307209661,3.32104825881,0.389091752743,0.934075997116
5,-1.55608533216,-0.0721669652326,0.268577280434,3.71510096179,0.721764977473,0.35,0.194278697913,-3.72061706082,0.413585535287,1.3476615324
6,-1.29321362399,-0.0655334585389,0.276577704185,18.23343404,0.845310047045,0.35,0.0463604412197,-0.419048611344,0.352985913064,1.70064744547
7,-1.030614814,-0.0551159480782,0.287857364307,33.3850583566,0.957104607998,0.35,0.0286686516398,-0.0553884401909,0.319413031293,2.02006047676
8,-0.811896179904,-0.0448580211248,0.253377896406,50.3524629553,1.04566426645,0.35,0.0207668941116,-0.0312288369571,0.253027595584,2.27308807234
9,-0.567220832874,-0.032252720794,0.284624835862,67.9680592497,1.13694817087,0.35,0.016727683318,-0.0154871090016,0.260811155472,2.53389922782
10,-0.352791721934,-0.0204783716976,0.260626540457,87.6164957487,1.21453271737,0.35,0.013861918432,-0.0129280604878,0.22167013286,2.75556936068
11,-0.121750314715,-0.00720170363958,0.281463838579,108.783627382,1.29310262878,0.35,0.011886923243,-0.00879787572277,0.224485461182,2.98005482186
12,0.125903388785,0.00757728337997,0.302302906929,130.990971636,1.37248914146,0.35,0.0104777384602,-0.00621282705787,0.226818607638,3.2068734295
13,0.322545485843,0.0196474204632,0.256430595165,153.629819808,1.43639404762,0.35,0.0093497086009,-0.00617809295839,0.182585446175,3.38945887567
14,0.528531999559,0.0325626119622,0.268935435287,176.081041274,1.50049414019,0.35,0.0085216110112,-0.00452158717378,0.183143121624,3.5726019973
15,0.743862929932,0.0463228578772,0.281440740324,200.619949544,1.5647655361,0.35,0.00779965073092,-0.00393154831183,0.183632559748,3.75623455704
16,0.968538276962,0.060928158208,0.293946450874,227.339375998,1.62918804887,0.35,0.00716632585847,-0.00344078018428,0.184064322198,3.94029887924
17,1.20255804065,0.0763785129547,0.306452517245,256.332152045,1.69374450867,0.35,0.00660761631015,-0.00302910572413,0.184447028002,4.12474590724
18,1.445922221,0.0926739221173,0.318958897543,287.69110911,1.75842022535,0.35,0.00611218132806,-0.00268110277898,0.184787761951,4.3095336692
19,1.698630818,0.109814385696,0.331465556206,317.658711031,1.82320256095,0.35,0.00573950122456,-0.00201348153028,0.185092387436,4.49462605663
20,1.87229455859,0.12171083609,0.256415966275,345.526706005,1.87177956893,0.35,0.00541717770695,-0.00232235857795,0.138791451358,4.63341750799
21,2.05011137325,0.133982866225,0.262669495538,370.647074158,1.92026753384,0.35,0.00518085172587,-0.00170586852886,0.138537042615,4.77195455061
22,2.23208126198,0.1466304761,0.268923094772,396.956606263,1.96867304748,0.35,0.00495941625966,-0.00160110713327,0.138301467533,4.91025601814
23,2.41820422478,0.159653665716,0.275176759205,424.48280795,2.01700205734,0.35,0.00475166960727,-0.00150450689035,0.138082885317,5.04833890346
24,2.60848026165,0.173052435072,0.281430484489,453.253184853,2.06525994453,0.35,0.0045565260511,-0.00141531775724,0.137879677669,5.18621858112
25,2.80290937259,0.186826784169,0.287684266655,483.29524261,2.11345159044,0.35,0.00437300309232,-0.00133286660703,0.137690416889,5.32390899801
26,3.0014915576,0.200976713005,0.29393810207,514.636486855,2.16158143417,0.35,0.00420021022486,-0.00125654892916,0.137513839251,5.46142283726
27,3.20422681668,0.215502221583,0.300191987405,547.304423225,2.20965352211,0.35,0.00403733905362,-0.00118582138592,0.137348822659,5.59877165992
28,3.41111514982,0.2304033099,0.306445919604,581.326557356,2.25767155084,0.35,0.00388365458669,-0.00112019516094,0.137194367815,5.73596602774
29,3.62215655704,0.245679977958,0.312699895854,616.730394887,2.30563890464,0.35,0.00373848755267,-0.00105923003639,0.137049582274,5.87301561001
30,3.83735103833,0.261332225757,0.318953913563,653.543441455,2.35355868804,0.35,0.00360122761358,-0.00100252912815,0.136913666879,6.00992927689
31,4.05669859369,0.277360053295,0.325207970338,691.793202697,2.40143375451,0.35,0.00347131736067,-0.0009497342119,0.136785904191,6.14671518108
32,4.28019922312,0.293763460574,0.331462063968,-2130.03625481,2.44926673151,0.35,-0.00114987091228,-0.0338138246248,0.136665648569,6.28338082965
33,4.50729985255,0.310406867854,0.337716192404,-87.6486485528,2.49706004268,0.35,-0.0284894300587,-0.200213073051,0.136552317638,6.41993314729
34,4.73468203756,0.32647679669,0.341724499361,-75.3496067217,2.5,0.0214955955224,-0.033178673503,-0.0342855591123,0.136770219466,6.55670336675
35,4.96179270408,0.341837667345,0.341804053054,-75.0337418559,2.5,0.0,-0.0333183436967,-0.00102156624827,0.136721621222,6.69342498798
36,5.18863185211,0.356489479816,0.341325150558,-74.7208240013,2.5,0.0,-0.0334578751428,-0.00102198333391,0.136530060223,6.8299550482
37,5.41519948165,0.370432234104,0.340849380677,-74.4108432915,2.5,0.0,-0.0335972539675,-0.00102229043545,0.136339752271,6.96629480047
38,5.6414955927,0.38366593021,0.340376756547,-74.1037899175,2.5,0.0,-0.0337364661481,-0.00102248595103,0.136150702619,7.10244550309
39,5.86752018526,0.396190568133,0.339907291289,-73.7996541281,2.5,0.0,-0.0338754975147,-0.00102256828629,0.135962916515,7.2384084196
40,6.09327325933,0.408006147874,0.33944099801,-73.4984262303,2.5,0.0,-0.0340143337514,-0.00102253585685,0.135776399204,7.37418481881
41,6.31875481491,0.419112669432,0.3389778898,-73.2000965899,2.5,0.0,-0.0341529603985,-0.00102238708817,0.13559115592,7.50977597473
42,6.543964852,0.429510132806,0.338517979732,-72.9046556317,2.5,0.0,-0.0342913628538,-0.00102212041652,0.135407191893,7.64518316662
43,6.7689033706,0.439198537999,0.338061280857,-72.6120938396,2.5,0.0,-0.0344295263751,-0.00102173429073,0.135224512343,7.78040767896
44,6.99357037071,0.448177885008,0.337607806207,-72.322401758,2.5,0.0,-0.0345674360811,-0.00102122717182,0.135043122483,7.91545080145
45,7.21796585233,0.456448173835,0.337157568792,-72.0355699908,2.5,0.0,-0.0347050769546,-0.00102059753528,0.134863027517,8.05031382896
46,7.44208981546,0.464009404479,0.336710581598,-71.7515892032,2.5,0.0,-0.0348424338438,-0.00101984387119,0.134684232639,8.1849980616
47,7.6659422601,0.47086157694,0.336266857586,-71.4704501211,2.5,0.0,-0.0349794914649,-0.00101896468516,0.134506743035,8.31950480464
48,7.88952318625,0.477004691218,0.335826409692,-71.1921435318,2.5,0.0,-0.0351162344042,-0.0010179585001,0.134330563877,8.45383536851
49,8.11283259391,0.482438747314,0.335389250821,-70.9166602848,2.5,0.0,-0.0352526471207,-0.00101682385632,0.134155700328,8.58799106884
50,8.33587048308,0.487163745227,0.334955393851,-70.6439912915,2.5,0.0,-0.0353887139486,-0.00101555931294,0.133982157541,8.72197322638
51,8.55863685377,0.491179684957,0.334524851631,-70.3741275261,2.5,0.0,-0.0355244190995,-0.00101416344896,0.133809940652,8.85578316704
52,8.78113170596,0.494486566505,0.334097636973,-70.107060026,2.5,0.0,-0.0356597466657,-0.00101263486451,0.133639054789,8.98942222182
53,9.00335503966,0.49708438987,0.33367376266,-69.8427798918,2.5,0.0,-0.0357946806223,-0.00101097218096,0.133469505064,9.12289172689
54,9.22530685487,0.498973155052,0.333253241437,-69.5812782884,2.5,0.0,-0.0359292048306,-0.00100917404271,0.133301296575,9.25619302346
55,9.44698715159,0.500152862051,0.332836086014,-69.3225464445,2.5,0.0,-0.036063303041,-0.00100723911848,0.133134434406,9.38932745787
56,9.66839592982,0.500623510868,0.332422309062,-69.0665756536,2.5,0.0,-0.0361969588957,-0.00100516610241,0.132968923625,9.52229638149
57,9.88953318956,0.500385101502,0.332011923212,-68.8133572747,2.5,0.0,-0.0363301559321,-0.00100295371251,0.132804769285,9.65510115078
58,10.1103989308,0.499437633953,0.331604941055,-68.5628827318,2.5,0.0,-0.0364628775861,-0.0010006006967,0.132641976422,9.7877431272
59,10.3309931536,0.497781108221,0.331201375137,-68.3151435149,2.5,0.0,-0.0365951071954,-0.000998105829712,0.132480550055,9.92022367726
60,10.5513158578,0.495415524307,0.330801237962,-68.0701311806,2.5,0.0,-0.0367268280029,-0.000995467914702,0.132320495185,10.0525441724
61,10.7713670436,0.49234088221,0.330404541987,-67.8278373516,2.5,0.0,-0.03685802316,-0.000992685787334,0.132161816795,10.1847059892
62,10.9911467109,0.48855718193,0.330011299621,-67.5882537184,2.5,0.0,-0.0369886757308,-0.000989758312347,0.132004519849,10.3167105091
63,11.2106548597,0.484064423467,0.329621523226,-67.3513720384,2.5,0.0,-0.0371187686952,-0.000986684388466,0.13184860929,10.4485591184
64,11.42989149,0.478862606822,0.32923522511,-67.1171841372,2.5,0.0,-0.0372482849532,-0.000983462947512,0.131694090044,10.5802532084
65,11.6488566019,0.472951731994,0.328852417531,-66.8856819088,2.5,0.0,-0.0373772073283,-0.000980092955426,0.131540967012,10.7117941754
66,11.8675501952,0.466331798983,0.328473112694,-66.6568573154,2.5,0.0,-0.0375055185721,-0.000976573414962,0.131389245078,10.8431834205
67,12.08597227,0.459002807789,0.328097322746,-66.4307023889,2.5,0.0,-0.0376332013677,-0.000972903364236,0.131238929098,10.9744223496
68,12.3041228264,0.450964758413,0.327725059778,-66.2072092302,2.5,0.0,-0.0377602383346,-0.000969081880337,0.131090023911,11.1055123735
69,12.5220018642,0.442217650854,0.327356335823,-65.9863700104,2.5,0.0,-0.0378866120323,-0.000965108078357,0.130942534329,11.2364549078
70,12.7396093836,0.432761485112,0.326991162852,-65.7681769706,2.5,0.0,-0.038012304965,-0.000960981114037,0.130796465141,11.367251373
71,12.9569453845,0.422596261188,0.326629552777,-65.5526224228,2.5,0.0,-0.0381372995862,-0.000956700183142,0.130651821111,11.4979031941
72,13.1740098669,0.411721979081,0.326271517442,-65.3396987499,2.5,0.0,-0.0382615783028,-0.000952264524701,0.130508606977,11.6284118011
73,13.3908028308,0.400138638791,0.325917068629,-65.1293984063,2.5,0.0,-0.03838512348,-0.000947673419406,0.130366827452,11.7587786285
74,13.6073242762,0.387846240318,0.325566218052,-64.9217139183,2.5,0.0,-0.0385079174457,-0.000942926192677,0.130226487221,11.8890051157
75,13.8235742031,0.374844783663,0.325218977357,-64.7166378842,2.5,0.0,-0.038629942496,-0.000938022215472,0.130087590943,12.0190927067
76,14.0395526116,0.361134268824,0.324875358118,-64.5141629751,2.5,0.0,-0.038751180899,-0.000932960903395,0.129950143247,12.1490428499
77,14.2552595015,0.346714695804,0.324535371839,-64.3142819352,2.5,0.0,-0.0388716149007,-0.000927741720059,0.129814148736,12.2788569987
78,14.470694873,0.3315860646,0.324199029949,-64.1169875818,2.5,0.0,-0.0389912267293,-0.000922364177043,0.12967961198,12.4085366107
79,14.6858587259,0.315748375214,0.323866343802,-63.9222728061,2.5,0.0,-0.0391099986007,-0.000916827834502,0.129546537521,12.5380831482
80,14.9007510604,0.299201627644,0.323537324677,-63.7301305733,2.5,0.0,-0.0392279127237,-0.000911132302316,0.129414929871,12.667498078
81,15.1153718764,0.281945821893,0.32321198377,-63.5405539232,2.5,0.0,-0.039344951305,-0.000905277241488,0.129284793508,12.7967828716
82,15.3297211739,0.263980957958,0.322890332201,-79.5061371564,2.5,0.0,-0.0314441134913,0.0611727653769,0.129156132881,12.9259390044
83,15.5435173973,0.245480514283,0.322572381007,146.153497715,2.5,0.0,0.0171053039379,0.376267624631,0.129028952403,13.0549679568
84,15.7550712132,0.227485361522,0.321075643729,95.7236563016,2.5,0.0,0.0261168461025,0.0701668153646,0.128430257492,13.1833982143
85,15.9641010659,0.210168978116,0.317512200295,92.2669387782,2.5,0.0,0.0270952958135,0.00770403239648,0.127004880118,13.3104030944
86,16.1706069555,0.193531364067,0.313654739645,88.8958359693,2.5,0.0,0.0281228020721,0.00818978743804,0.125461895858,13.4358649903
87,16.374588882,0.177572519374,0.309798860829,85.6092571939,2.5,0.0,0.0292024493839,0.00871248613463,0.123919544332,13.5597845346
88,16.5760468454,0.162292444037,0.305944623663,82.406111795,2.5,0.0,0.0303375556199,0.00927542231657,0.122377849465,13.6821623841
89,16.7749808456,0.147691138056,0.302092090987,79.2853091406,2.5,0.0,0.0315316926565,0.00988222691235,0.120836836395,13.8029992205
90,16.9713908827,0.133768601431,0.298241328862,76.2457586251,2.5,0.0,0.0327887091044,0.0105369069121,0.119296531545,13.922295752
91,17.1652769566,0.120524834162,0.294392406773,73.286369671,2.5,0.0,0.0341127553626,0.0112438893446,0.117756962709,14.0400527147
92,17.3566390675,0.107959836249,0.290545397855,70.4060517313,2.5,0.0,0.0355083112676,0.0120080709876,0.116218159142,14.1562708739
93,17.5454772152,0.0960736076916,0.28670037913,67.603714291,2.5,0.0,0.0369802166378,0.0128348746399,0.114680151652,14.2709510255
94,17.7317913997,0.0848661484906,0.28285743177,64.8782668699,2.5,0.0,0.0385337050543,0.0137303128895,0.113142972708,14.3840939983
95,17.9155816212,0.0743374586457,0.279016641371,62.2286190245,2.5,0.0,0.040174441265,0.014701060505,0.111606656549,14.4957006548
96,18.0968478795,0.0644875381568,0.275178098263,59.6536803507,2.5,0.0,0.0419085626453,0.0157545367098,0.110071239305,14.6057718941
97,18.2755901747,0.055316387024,0.271341897831,57.1523604869,2.5,0.0,0.0437427252121,0.0168989988404,0.108536759132,14.7143086532
98,18.4518085067,0.0468240052472,0.267508140874,54.7235691172,2.5,0.0,0.0456841547496,0.0181436491165,0.107003256349,14.8213119096
99,18.6255028756,0.0390103928265,0.263676933986,52.366215974,2.5,0.0,0.0477407036866,0.0194987565454,0.105470773594,14.9267826832
100,18.7966732814,0.0318755497617,0.259848389979,50.0792108426,2.5,0.0,0.0499209144461,0.0209757963067,0.103939355991,15.0307220392
101,18.9653197241,0.0254194760531,0.256022628329,47.8614635644,2.5,0.0,0.0522340900971,0.022587609405,0.102409051332,15.1331310905
102,19.1314422036,0.0196421717004,0.252199775678,45.3586839619,2.5,0.0,0.0551162375456,0.0285700833864,0.100879910271,15.2340110008
103,19.375893492,0.012248907714,0.329900988028,42.6106068187,2.5,0.0,0.0586708377714,0.0269368716286,0.131960395211,15.365971396
104,19.6146658634,0.00638287477869,0.322271078817,39.6590256058,2.5,0.0,0.0630373530819,0.0338730000729,0.128908431527,15.4948798275
105,19.8477593177,0.00204407289445,0.31465154732,36.8510138713,2.5,0.0,0.0678407386221,0.038164324799,0.125860618928,15.6207404464
106,20.075173855,-0.00076749793871,0.307043166375,34.1828940121,2.5,0.0,0.0731359960077,0.0431149262179,0.12281726655,15.743557713
107,20.2969094752,-0.00205183772079,0.2994467862,31.6509889479,2.5,0.0,0.0789864735069,0.048844049835,0.11977871448,15.8633364275
108,20.5129661784,-0.00180894645178,0.291863344155,29.25162219,2.5,0.0,0.085465345606,0.0554957673579,0.116745337662,15.9800817651
109,20.7233439646,-3.88241316907e-05,0.284293875968,26.9811179222,2.5,0.0,0.0926573912619,0.0632448169295,0.113717550387,16.0937993155
110,20.9280428337,0.00325852923948,0.276739528719,24.8358010949,2.5,0.0,0.100661137945,0.0723039704564,0.110695811487,16.204495127
